"coachID";"year";"tmID";"coachWinRatio";"postCoachWinRatio"
"adamsmi01w";5;"WAS";0.5;0.3333333333333333
"adubari99w";1;"NYL";0.625;0.5714285714285714
"adubari99w";2;"NYL";0.65625;0.5
"adubari99w";3;"NYL";0.5625;0.5
"adubari99w";4;"NYL";0.47058823529411764;
"adubari99w";5;"NYL";0.4375;
"adubari99w";6;"WAS";0.47058823529411764;
"adubari99w";7;"WAS";0.5294117647058824;0.0
"adubari99w";8;"WAS";0.0;
"aglerbr99w";1;"MIN";0.46875;
"aglerbr99w";2;"MIN";0.375;
"aglerbr99w";3;"MIN";0.3157894736842105;
"aglerbr99w";9;"SEA";0.6470588235294118;0.3333333333333333
"aglerbr99w";10;"SEA";0.5882352941176471;0.3333333333333333
"allenso99w";1;"SAC";0.65625;0.0
"allenso99w";2;"SAC";0.5;
"bibbyhe01w";6;"LAS";0.4642857142857143;
"boguemu01w";6;"CHA";0.3;
"boguemu01w";7;"CHA";0.3235294117647059;
"bouceje01w";8;"SAC";0.5588235294117647;0.3333333333333333
"bouceje01w";9;"SAC";0.5294117647058824;0.3333333333333333
"bouceje01w";10;"SAC";0.23076923076923078;
"brownde01w";3;"ORL";0.5;
"brownde01w";5;"SAS";0.23076923076923078;
"bryanjo01w";6;"LAS";0.6666666666666666;0.0
"bryanjo01w";7;"LAS";0.7352941176470589;0.4
"chancva99w";1;"HOU";0.84375;1.0
"chancva99w";2;"HOU";0.59375;0.0
"chancva99w";3;"HOU";0.75;0.3333333333333333
"chancva99w";4;"HOU";0.5882352941176471;0.3333333333333333
"chancva99w";5;"HOU";0.38235294117647056;
"chancva99w";6;"HOU";0.5588235294117647;0.4
"chancva99w";7;"HOU";0.5294117647058824;0.0
"coopecy01w";2;"PHO";0.40625;
"coopecy01w";3;"PHO";0.6;
"coopemi01w";1;"LAS";0.875;0.5
"coopemi01w";2;"LAS";0.875;0.8571428571428571
"coopemi01w";3;"LAS";0.78125;1.0
"coopemi01w";4;"LAS";0.7058823529411765;0.5555555555555556
"coopemi01w";5;"LAS";0.7;
"coopemi01w";8;"LAS";0.29411764705882354;
"coopemi01w";9;"LAS";0.5882352941176471;0.5
"coopemi01w";10;"LAS";0.5294117647058824;0.5
"cowenda01w";7;"CHI";0.14705882352941177;
"coylepa99w";5;"NYL";0.6111111111111112;0.4
"coylepa99w";6;"NYL";0.5294117647058824;0.0
"coylepa99w";7;"NYL";0.3235294117647059;
"coylepa99w";8;"NYL";0.47058823529411764;0.3333333333333333
"coylepa99w";9;"NYL";0.5588235294117647;0.5
"coylepa99w";10;"NYL";0.35294117647058826;
"dailesh99w";4;"SAS";0.5;
"dailesh99w";5;"SAS";0.375;
"darscna99w";1;"WAS";0.45;
"donovan99w";1;"IND";0.28125;
"donovan99w";2;"CHA";0.5625;0.5
"donovan99w";3;"CHA";0.5625;0.0
"donovan99w";4;"SEA";0.5294117647058824;
"donovan99w";5;"SEA";0.5882352941176471;0.75
"donovan99w";6;"SEA";0.5882352941176471;0.3333333333333333
"donovan99w";7;"SEA";0.5294117647058824;0.3333333333333333
"donovan99w";8;"SEA";0.5;0.0
"donovan99w";10;"NYL";0.4117647058823529;
"dunnli99wc";1;"SEA";0.1875;
"dunnli99wc";2;"SEA";0.3125;
"dunnli99wc";3;"SEA";0.53125;0.0
"dunnli99wc";9;"IND";0.5;0.3333333333333333
"dunnli99wc";10;"IND";0.6470588235294118;0.6
"dunntr01wc";1;"CHA";0.25;
"fortnne99w";2;"IND";0.3125;
"fortnne99w";3;"IND";0.5;0.3333333333333333
"fortnne99w";4;"IND";0.47058823529411764;
"gaineco01w";9;"PHO";0.47058823529411764;
"gaineco01w";10;"PHO";0.6764705882352942;0.6363636363636364
"gilloje01w";10;"MIN";0.4117647058823529;
"grafca99wc";5;"PHO";0.5;
"grafca99wc";6;"PHO";0.47058823529411764;
"hargrli99w";1;"POR";0.3125;
"hargrli99w";2;"POR";0.34375;
"hargrli99w";3;"POR";0.5;
"harveca99w";2;"UTA";0.7368421052631579;0.0
"harveca99w";3;"UTA";0.625;0.4
"harveca99w";4;"SAS";0.2727272727272727;
"hugheda99w";1;"CLE";0.53125;0.5
"hugheda99w";2;"CLE";0.6875;0.3333333333333333
"hugheda99w";3;"CLE";0.3125;
"hugheda99w";4;"CLE";0.5;0.3333333333333333
"hugheda99w";6;"SAS";0.20588235294117646;
"hugheda99w";7;"SAS";0.38235294117647056;
"hugheda99w";8;"SAS";0.5882352941176471;0.4
"hugheda99w";9;"SAS";0.7058823529411765;0.4444444444444444
"hugheda99w";10;"SAS";0.4411764705882353;0.3333333333333333
"jenkica99w";7;"MIN";0.09090909090909091;
"kenlaje99w";9;"WAS";0.16666666666666666;
"keyst99wc";9;"CHI";0.35294117647058826;
"keyst99wc";10;"CHI";0.47058823529411764;
"laceytr99w";4;"CHA";0.5294117647058824;0.0
"laceytr99w";5;"CHA";0.47058823529411764;
"laceytr99w";6;"CHA";0.125;
"laimbbi01w";3;"DET";0.4090909090909091;
"laimbbi01w";4;"DET";0.7352941176470589;0.75
"laimbbi01w";5;"DET";0.5;0.3333333333333333
"laimbbi01w";6;"DET";0.47058823529411764;0.0
"laimbbi01w";7;"DET";0.6764705882352942;0.7
"laimbbi01w";8;"DET";0.7058823529411765;0.5454545454545454
"laimbbi01w";9;"DET";0.6470588235294118;0.7777777777777778
"laimbbi01w";10;"DET";0.3333333333333333;
"liebena01w";1;"DET";0.4375;
"maherto99w";2;"WAS";0.3125;
"mahorri01w";10;"DET";0.5483870967741935;0.6
"mcconsu01w";4;"MIN";0.5294117647058824;0.3333333333333333
"mcconsu01w";5;"MIN";0.5294117647058824;0.0
"mcconsu01w";6;"MIN";0.4117647058823529;
"mcconsu01w";7;"MIN";0.391304347826087;
"mchugma99w";2;"SAC";0.7;0.6
"mchugma99w";3;"SAC";0.4375;
"mchugma99w";4;"SAC";0.3888888888888889;
"meadoma99w";9;"ATL";0.11764705882352941;
"meadoma99w";10;"ATL";0.5294117647058824;0.0
"millech99w";1;"PHO";0.625;0.0
"overtbo99w";8;"CHI";0.4117647058823529;
"peckca99wc";1;"ORL";0.5;0.3333333333333333
"peckca99wc";2;"ORL";0.40625;
"plankju99w";10;"WAS";0.47058823529411764;0.0
"rollitr01w";8;"WAS";0.5333333333333333;
"rollitr01w";9;"WAS";0.36363636363636365;
"rothsro99w";1;"MIA";0.40625;
"rothsro99w";2;"MIA";0.625;0.3333333333333333
"rothsro99w";3;"MIA";0.46875;
"sharpli99w";3;"PHO";0.22727272727272727;
"shumajo01w";4;"PHO";0.23529411764705882;
"stanlma99w";3;"WAS";0.53125;0.6
"stanlma99w";4;"WAS";0.2647058823529412;
"thibami99w";4;"CON";0.5294117647058824;0.5
"thibami99w";5;"CON";0.5294117647058824;0.625
"thibami99w";6;"CON";0.7647058823529411;0.625
"thibami99w";7;"CON";0.7647058823529411;0.6
"thibami99w";8;"CON";0.5294117647058824;0.3333333333333333
"thibami99w";9;"CON";0.6176470588235294;0.3333333333333333
"thibami99w";10;"CON";0.47058823529411764;
"thompka99w";5;"LAS";0.7857142857142857;0.3333333333333333
"thompka99w";8;"HOU";0.38235294117647056;
"thompka99w";9;"HOU";0.5;
"vandehe99w";3;"MIN";0.3076923076923077;
"walkeda01w";1;"WAS";0.4166666666666667;0.0
"weisery99w";5;"LAS";0.7857142857142857;0.3333333333333333
"westhpa99w";7;"PHO";0.5294117647058824;
"westhpa99w";8;"PHO";0.6764705882352942;0.7777777777777778
"whisejo99w";4;"SAC";0.75;0.5
"whisejo99w";5;"SAC";0.5294117647058824;0.5
"whisejo99w";6;"SAC";0.7352941176470589;0.875
"whisejo99w";7;"SAC";0.6176470588235294;0.6666666666666666
"whisejo99w";10;"SAC";0.42857142857142855;
"willifr99w";1;"UTA";0.5625;
"willifr99w";2;"UTA";0.38461538461538464;
"willigr99w";2;"DET";0.3125;
"willigr99w";3;"DET";0.0;
"wintebr01w";5;"IND";0.4411764705882353;
"wintebr01w";6;"IND";0.6176470588235294;0.5
"wintebr01w";7;"IND";0.6176470588235294;0.0
"wintebr01w";8;"IND";0.6176470588235294;0.5
"zierddo99w";8;"MIN";0.29411764705882354;
"zierddo99w";9;"MIN";0.47058823529411764;
